GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
310M200US10180,10180,"Abilene, TX Metro Area",47420,5071
310M200US10420,10420,"Akron, OH Metro Area",51580,1156
310M200US10500,10500,"Albany, GA Metro Area",40143,2937
310M200US10540,10540,"Albany, OR Metro Area",47527,4013
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",63080,2573
310M200US10740,10740,"Albuquerque, NM Metro Area",48937,1376
310M200US10780,10780,"Alexandria, LA Metro Area",42778,2414
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",60671,1573
310M200US11020,11020,"Altoona, PA Metro Area",45432,3540
310M200US11100,11100,"Amarillo, TX Metro Area",51734,1630
310M200US11180,11180,"Ames, IA Metro Area",50811,2005
310M200US11260,11260,"Anchorage, AK Metro Area",78238,3082
310M200US11460,11460,"Ann Arbor, MI Metro Area",61977,2207
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",42346,2538
310M200US11540,11540,"Appleton, WI Metro Area",61245,1986
310M200US11700,11700,"Asheville, NC Metro Area",44826,1689
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",38643,2323
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",60219,464
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",54052,3806
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",46589,2849
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",49721,2545
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",67195,1310
310M200US12540,12540,"Bakersfield, CA Metro Area",51342,1312
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",72520,883
310M200US12620,12620,"Bangor, ME Metro Area",44173,4678
310M200US12700,12700,"Barnstable Town, MA Metro Area",66102,1965
310M200US12940,12940,"Baton Rouge, LA Metro Area",54774,2237
310M200US12980,12980,"Battle Creek, MI Metro Area",43084,2719
310M200US13020,13020,"Bay City, MI Metro Area",46560,4139
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",49787,2208
310M200US13220,13220,"Beckley, WV Metro Area",37101,2392
310M200US13380,13380,"Bellingham, WA Metro Area",55016,3235
310M200US13460,13460,"Bend-Redmond, OR Metro Area",57373,5618
310M200US13740,13740,"Billings, MT Metro Area",57249,2561
310M200US13780,13780,"Binghamton, NY Metro Area",49386,2998
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",51459,1064
310M200US13900,13900,"Bismarck, ND Metro Area",65173,3543
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",50947,2556
310M200US14010,14010,"Bloomington, IL Metro Area",63842,3138
310M200US14020,14020,"Bloomington, IN Metro Area",44376,4283
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",46688,3568
310M200US14260,14260,"Boise City, ID Metro Area",51925,1841
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",78800,1642
310M200US14500,14500,"Boulder, CO Metro Area",72009,5099
310M200US14540,14540,"Bowling Green, KY Metro Area",43437,3322
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",66090,3036
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",86414,2417
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",34074,2696
310M200US15260,15260,"Brunswick, GA Metro Area",44347,4071
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",51772,994
310M200US15500,15500,"Burlington, NC Metro Area",39541,2483
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",66807,2770
310M200US15680,15680,"California-Lexington Park, MD Metro Area",85163,7529
310M200US15940,15940,"Canton-Massillon, OH Metro Area",49313,1957
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",50651,1121
310M200US16020,16020,"Cape Girardeau, MO-IL Metro Area",47824,3734
310M200US16060,16060,"Carbondale-Marion, IL Metro Area",42284,2674
310M200US16180,16180,"Carson City, NV Metro Area",42251,5817
310M200US16220,16220,"Casper, WY Metro Area",52886,5090
310M200US16300,16300,"Cedar Rapids, IA Metro Area",58015,3005
310M200US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",57960,5015
